"Year","AveN","n.x","Total_MGD","n.y","Pounds"
1991,1.16879083333333,6,278865.749673,365,2718304.00444991
1992,1.35,2,250211.931795,366,2817136.14007991
1993,0.974,5,360712.102968,365,2930122.12634554
1994,1.095,5,241807.871844,365,2208262.02804096
1995,1.07375,4,328938.512931,365,2945669.05368557
1996,0.9425,4,389569.510701,366,3062191.66038968
1997,0.80125,4,265967.847621,365,1777310.19413876
1998,0.725,3,373686.916743,365,2259497.94208655
1999,0.91375,4,228364.478244,365,1740291.47024209
2000,0.963333333333333,6,224341.801236,366,1802406.89949027
2001,1.46666666666667,12,151580.079693,365,1854127.53480478
2002,1.9,12,225068.6493342,365,3566437.81734973
2003,1.22166666666667,12,604168.083162,365,6155687.34891267
2004,1.03041666666667,12,234678.995334,366,2016755.01522691
2005,1.24916666666667,12,187112.7140337,365,1949349.61043879
2006,1.30083333333333,12,187040.908215,365,2029197.46117912
2007,0.978214285714286,14,166679.0789202,365,1359819.12011952
2008,1.09888888888889,18,192168.0763443,366,1761169.17487515
2009,1.27555555555556,18,304584.1250004,365,3240206.53297092
2010,1.25277777777778,18,255955.6863423,365,2674267.67018541
2011,1.45933333333333,15,161171.8763949,365,1961597.1201021
2012,1.215,12,145361.1528873,366,1472959.0983223
2013,1.22375,12,293815.061883,365,2998698.55770754
2014,1.45,10,257015.4523272,365,3108087.86499283
2015,1.97,7,325483.3668807,365,5347626.62117652
2016,1.38125,8,258915.882834,366,2982613.87679162
2017,1.6125,8,206046.6351804,351,2770966.66156481
