"Year","AveN","n.x","Total_MGD","n.y","Pounds","adj.pounds"
1992,0.175,1,43178.0473971,1098,63018.3601760675,136592.635464301
1993,0.682,5,49261.635423,1095,280194.270889773,607322.592906302
1996,0.78125,4,49109.8801914,1098,319981.563122091,693561.76334515
1997,1.25,4,40917.4244262,1095,426564.149643135,924580.094301978
1998,0.65,3,54193.034133,1095,293780.438034993,636770.683447522
1999,0.675,4,49282.317567,1095,277434.806743426,601341.439490604
2000,0.608333333333333,6,32685.2201655,1098,165828.464509664,359434.090939351
2001,0.819583333333333,12,29150.93906172,1095,199256.142542051,431888.763310054
2002,1.05833333333333,12,34249.72094838,1095,302305.161950876,655248.068498844
2003,0.735,12,58960.3975884,1095,361421.341177133,783382.705714634
2004,0.843333333333333,12,28633.51059786,1098,201390.933438989,436515.93408954
2005,0.919166666666667,12,26694.77288247,1095,204638.124701083,443554.238658349
2006,0.655416666666667,12,33748.2177354,1095,184473.6640798,399847.661538891
2007,1.058,15,24500.53313064,1095,216185.844195491,468583.982925525
2008,0.894722222222222,18,38306.83372614,1098,285844.954817228,619570.480786443
2009,0.819166666666667,18,39716.68377726,1095,271338.426063674,588127.501496748
2010,0.766944444444444,18,28829.6807337,1095,184403.767371644,399696.160047094
2011,0.936666666666667,15,23387.06466621,1095,182695.071759499,395992.553094817
2012,0.897083333333333,12,23513.66524017,1098,175921.601385749,381311.019538485
2013,0.801666666666667,12,45837.94562109,1095,306467.920628046,664270.870376389
2014,0.725416666666667,12,50054.14286523,1095,302826.31298107,656377.666166733
2015,0.912083333333333,12,52078.57575165,1095,396150.008063257,858657.27844049
2016,0.577083333333333,12,60251.22836397,1098,289981.630712242,628536.748093034
2017,0.5755,10,28913.61792249,1054,138775.824534038,300797.347929636
